dir,text
640.jpeg,a painting of two birds perched on a tree branch
640-2.jpeg,a painting of a tree in the middle of a field
640-3.jpeg,a painting of a bird sitting on a branch of a tree
640-4.jpeg,a painting of a cow sitting under a tree
44296041_1.jpg,a painting of a group of trees in the snow
44296041_2.jpg,a black and white painting of a village
44296041_9.jpg,a painting of a bunch of black and green plants
44296041_10.jpg,a painting of a group of boats floating on top of a body of water
44296041_16.jpg,a painting of a man standing on top of a cliff next to a body of water
44296041_19.jpg,a painting of a bridge over a body of water
44296041_21.jpg,a black and white painting with paint splatters on it
44296041_24.jpg,a painting of a tree and a fence with a bird on it and a building in the background with a red sign
44296041_25.jpg,a painting of a village and a body of water with trees in the foreground and a hill in the background
44296041_26.jpg,a painting of flowers and leaves on a white background with black and orange accents and a red and orange design
44296041_27.jpg,a painting of a city with lots of buildings and trees in it
44296041_29.jpg,a painting of a person standing in a field of grass with a sky background and a line of writing above it
44296041_30.jpg,a painting of a tree and a building with a shadow of a person on it and a bird flying over it
44296041_47.jpg,a drawing of a bridge with people walking across it and a building in the background with a lot of people walking around
44296041_48.jpg,a painting of a house and a tree in a flooded area with water in front of it and a building in the background
44296041_50.jpg,a painting of a city with a bridge and buildings in the background and a tree in the foreground
44296041_56.jpg,a painting of a building with stairs leading up to it and a clock tower in the background with a sky background
44296041_57.jpg,a painting of a house in the woods by a river with trees and snow on the ground and a few birds flying around
44296041_59.jpg,a drawing of a lake with trees and birds flying over it and a building in the distance with a red roof
44296041_60.jpg,a painting of a narrow street with buildings and a sky background with a blue sky and a few clouds
44296041_68.jpg,a painting of a hilly landscape with trees and a house in the distance
44296041_70.jpg,a painting of two black swans in a pond of water with reeds and a bird in the water
44296041_71.jpg,a painting of a field with grass and flowers in it
44296041_76.jpg,a painting of a river with a tree in the foreground and a cow in the background in the distance
44296041_77.jpg,a painting of a house and a boat in the water with a mountain in the background and a tree in the foreground
44296041_86.jpg,a painting of a tree and a building with a sky background and a tree with a yellow light in the middle
44296041_92.jpg,a painting of a snowy landscape with a tree and a fence in the foreground and a bird on the far side of the fence
44296041_98.jpg,a painting of a house with a black roof and a tree in the foreground and a bird flying over the house
Chinese_style_4.jpeg,a painting of a person standing on a mountain with a tree in the foreground and a mountain in the background
claborate1.jpg,a painting of a mountain with a house on it and trees in the foreground and a bridge in the background
claborate3.jpg,a drawing of a mountain with trees and rocks in the background
claborate4.jpg,a drawing of a landscape with a mountain in the background and a lake in the foreground with a few people in the water
claborate5.jpg,a painting of a mountain lake with a boat in the water and trees on the shore and fog in the air
fuchun.jpg,a drawing of a mountain with a tree on top of it and a river below it with a boat in the water
fuchun3_1.jpg,a drawing of a mountain lake with trees and mountains in the background and a stream running through the valley
fuchun3_2.png,a painting of a mountain with trees and rocks in the foreground and a river in the background with a mountain range in the background
fuchun3_3.jpg,a painting of a landscape with trees and mountains in the background and a river running through it with a few people on the bank
fuchun3_4.jpg,a drawing of a mountain landscape with trees and mountains in the background with red writing on the bottom of the picture
fuchun4_5.jpg,a drawing of a desert with a lot of people on horses and a man on a horse drawn carriage
fuchun4_6.jpg,a drawing of a mountain with trees and rocks in the foreground and a sky in the background with a few clouds
fuchun4_7.jpg,a painting of a mountain landscape with trees and mountains in the background
fuchun4_8.jpg,a painting of a mountain with trees and a lake in the background with a few people on it and a few animals in the foreground
fuchun4_10.jpg,a drawing of a mountain with trees and rocks in the foreground and a river in the background with a few people on the bank
fuchun4_11.jpg,a drawing of a mountain landscape with trees and rocks in the foreground and a river in the background
ink_and_wash.jpg,a drawing of a bridge over a river with trees on the side of it and a bridge over the water
ink_and_wash5.jpg,a painting of a lake with birds flying around it and a boat in the water with a boat in the distance
ink_and_wash6.jpg,a drawing of a snowy landscape with a house in the distance and trees in the foreground
shanshui2.jpg,a painting of a mountain landscape with boats in the water and a mountain range in the background with chinese writing
shanshui3.jpg,a painting of a landscape with a boat in the water and a mountain in the background with trees and a sky
shanshui5.jpg,a painting of a mountain landscape with a pagoda and trees on it's side and a man on a boat in the water
shanshui6.jpg,a painting of a mountain with a river running through it and a bridge in the middle of the picture
shanshui7.jpg,a painting of a mountain scene with a river and trees in the foreground and a mountain in the background
shanshui11.jpeg,a painting of a mountain with a house on it and a river running through it with trees on both sides
shanshui14.jpeg,a painting of a mountain landscape with a river and trees in the foreground and a mountain range in the background
shanshui16.jpeg,a drawing of a boat on a lake with mountains in the background and a person in a canoe in the water
shuimo1.jpg,a painting of a lake with birds flying around it and a boat in the water with a boat in the distance
shuimo2.jpg,a painting of a mountain with trees on it and clouds in the sky above it
shuimo3.jpg,a drawing of a boat on a lake near a mountain range with trees and clouds in the background and a foggy sky
shuimo4.jpg,a painting of a house in a forest with a river running through it and a man on a bicycle
shuimo5.jpg,a painting of a mountain lake with trees and mountains in the background with chinese writing on the wall and below
shuimo6.jpeg,a painting of a mountain landscape with a river and trees in the foreground and a bird flying over the mountain
shuimo7.jpg,a painting of a bridge and a boat in a river with a bridge and buildings on it and a boat in the water
shuimo8.jpg,a painting of a mountain with a person on top of it and a sky background with clouds and birds
shuimo9.jpg,a drawing of a mountain with a lake and trees in the foreground and a mountain in the background
